title,buy_button
"GOURMET® NATURE'S CREATIONS, cu pui, spanac și roșii, curcan, spanac și păstârnac, mini fileuri în sos, hrană umedă pentru pisici",True
"GOURMET® NATURE'S CREATIONS, cu curcan, spanac și păstârnac, mini fileuri în sos, hrană umedă pentru pisici",True
"GOURMET® NATURE'S CREATIONS, cu pui, spanac și roșii, mini fileuri în sos, hrană umedă pentru pisici",True
"FELIX Party Mix, Mixed Grill, recompense pentru pisici",True
"FELIX Party Mix, Ocean Mix, recompense pentru pisici",True
"FELIX Party Mix, Original Mix, recompense pentru pisici",True
"FELIX® FANTASTIC, cu iepure în aspic, hrană umedă pentru pisici",True
"FELIX® FANTASTIC, cu pui / vită / iepure / miel în aspic, hrană umedă pentru pisici",True
"FELIX® FANTASTIC, cu somon și pește cambulă în aspic, hrană umedă pentru pisici",True
"FELIX® FANTASTIC, cu ton / somon / cod / pește cambula în aspic, hrană umedă pentru pisici",True
"FELIX® FANTASTIC, cu vită și pui în aspic, hrană umedă pentru pisici",True
"FELIX® FANTASTIC, cu pui în aspic, hrană umedă pentru pisici",True
"FELIX® FANTASTIC, cu somon în aspic, hrană umedă pentru pisici",True
"FELIX® FANTASTIC, cu vită în aspic, hrană umedă pentru pisici",True
"FELIX® FANTASTIC Junior, cu pui în aspic, pachet mix, hrană umedă pentru puii de pisică",True
"FELIX® FANTASTIC Junior, cu pui în aspic, hrană umedă pentru puii de pisică",True
"FELIX® TASTY SHREDS, Selecție mixtă cu Vită, Pui, Somon și Ton în sos, hrană umedă pentru pisici",True
"FELIX® SENSATIONS, cu vită cu rosii/pui cu morcov in aspic, pachet mix, hrană umedă pentru pisici",True
"FELIX® SENSATIONS, cu somon în aspic cu creveți / păstrăv în aspic cu spanac, pachet mix, hrană umedă pentru pisici",True
"FELIX® TASTY SHREDS, Ton în sos, hrană umedă pentru pisici",True
"FELIX® SENSATIONS, cu vită și roșii în aspic, hrană umedă pentru pisici",True
"FELIX® SENSATIONS, cu pui și morcov în aspic, hrană umedă pentru pisici",True
"FRISKIES® ADULT, cu pui și legume, hrană uscată pentru pisici",True
"FRISKIES® STERILIZED, cu somon și legume, hrană uscată pentru pisici",True
"Friskies® Junior, Pui, Lapte și Legume, hrană uscată pentru pisici",True
"FRISKIES® INDOOR, cu pui și legume, hrană uscată pentru pisici",True
"FRISKIES® HAIRBALL, cu pui și legume, hrană uscată pentru pisici",True
"FRISKIES® ADULT, cu vită, pui și legume, hrană uscată pentru pisici",True
"Friskies® Junior cu Pui în Sos, Pachet Mixat, hrană umedă pentru pisici",True
"Friskies® Junior cu Pui în Sos, hrană umedă pentru pisici",True
"FRISKIES® ADULT, cu pui în sos, hrană umedă pentru pisici",True
"FRISKIES® ADULT, curcan în sos, hrană umedă pentru pisici",True
"FRISKIES® ADULT, cu somon în sos, hrană umedă pentru pisici",True
"CAT CHOW® ADULT, cu pui, hrană uscată pentru pisici",True
"CAT CHOW® ADULT, cu somon, hrană uscată pentru pisici",True
"CAT CHOW® HAIRBALL CONTROL, cu pui, hrană uscată pentru pisici",True
"CAT CHOW® SENSITIVE, cu somon, hrană uscată pentru pisici",True
"CAT CHOW® STERILISED, cu pui, hrană uscată pentru pisici",True
"CAT CHOW® URINARY TRACT HEALTH, cu pui, hrană uscată pentru pisici",True
"CAT CHOW® HAIRBALL CONTROL, cu pui și fasole verde, hrană umedă pentru pisici",False
"CAT CHOW® STERILISED, cu miel și fasole verde, hrană umedă pisici",False
"CAT CHOW® SENSITIVE, cu somon și dovlecei, hrană umedă pentru pisici",False
"CAT CHOW® STERILISED, cu pui și vinete, hrană umedă pentru pisici",False
"CAT CHOW® ADULT, cu somon, hrană uscată pentru pisici",True
"CAT CHOW JUNIOR, cu pui, hrană uscată pentru pisici",True
